student_id,life_risk,study_risk,sport_risk,total_risk,risk_level,dominant_dimension,life_shap_top1,life_shap_top2,life_shap_top3,study_shap_top1,study_shap_top2,study_shap_top3,sport_shap_top1,sport_shap_top2,sport_shap_top3,M_score,A_score,P_score,dominant_MAP,pattern_label,pattern_reason,profile_text,intervention_type,intervention_text,priority
pjxuqwbj585,0.9980851735015773,,,0.9980851735015773,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.19965400380082596,0.11718545011182614,-0.023793611068581633,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj419,0.9980851735015773,,,0.9980851735015773,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,fhl_mean,run_punch_count,bmi_count,0.34310422879333147,-0.1648643793132777,-0.024317382249980767,M,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、fhl_mean。从机制上看，问题主要集中在动机。在群体中，该学生属于生活失衡型。建议优先从动机干预入手。,动机,建议先修正生活维度的作息与环境行为，采用目标激励、正反馈机制与成就感强化建立稳定习惯。,P1
pjxyqxbj679,0.9980851735015773,,,0.9980851735015773,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.075655488356327,0.11813983900497343,-0.009463975468517067,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbl797,0.9980851735015773,,,0.9980851735015773,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,semester,semester,semester,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.20595921897329386,0.11699800576368953,0.08951938391088593,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqwbj100,0.9975,,,0.9975,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,semester,ywqz_mean,ywqz_mean,ywqz_mean,-0.08202646091270116,-0.5689338300029437,-0.024394708315319896,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbk520,0.9975,,,0.9975,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.19111150419029263,-0.7532730429039027,-0.0249624790730513,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbj290,0.9959165418474152,,,0.9959165418474152,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,semester,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756677661370486,0.12400011662493136,-0.011592043090594068,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxrqxbj903,0.995,,,0.995,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756554883563287,0.11823983900497344,-0.022079076678467858,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqwbj088,0.993508303063621,,,0.993508303063621,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07178222180965381,-0.7634894348485396,-0.03716404512925705,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqwbj248,0.9930851735015773,,,0.9930851735015773,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.07554982161459822,0.11678728354225544,-0.011605218579165591,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj681,0.9901507008287664,,,0.9901507008287664,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,semester,pe_unique_course,daily_daka_sum,pe_unique_course,-0.07730442762064778,0.11848778330236659,-0.03941540212928993,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxuqwbj714,0.9871187110113345,,,0.9871187110113345,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07178222180965041,-0.7635394348485396,-0.010796780479131032,P,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqwbj086,0.9871187110113345,,,0.9871187110113345,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,term_order,year_start,year_start,fhl_mean,run_punch_count,bmi_count,0.21497100290164498,-0.15398854537500695,-0.008373743643164967,M,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：term_order、door_unique_ctrl、fhl_mean。从机制上看，问题主要集中在动机。在群体中，该学生属于生活失衡型。建议优先从动机干预入手。,动机,建议先修正生活维度的作息与环境行为，采用目标激励、正反馈机制与成就感强化建立稳定习惯。,P1
pjxqqxbj985,0.9815707952569546,,,0.9815707952569546,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,avg_score,avg_score,avg_score,ywqz_mean,ywqz_mean,ywqz_mean,-0.0719524441690494,-0.7285158911612236,-0.008899285852056132,P,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbj054,0.98,,,0.98,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,run_punch_count,ws_mean,fhl_mean,-0.4252672060237594,0.09706463530063618,-0.026221459007727026,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、run_punch_count。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbl673,0.9789844552939653,,,0.9789844552939653,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,semester,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.2163027735023448,0.11685033928354566,-0.010323252617754299,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj658,0.9775,,,0.9775,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756554883563304,0.11818983900497343,-0.038157259750586627,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbk501,,0.97,,0.97,高风险,study,club_active_flag,lib_visit_count,semester,semester,semester,semester,pe_unique_course,daily_daka_sum,pe_unique_course,-0.09209302430733222,0.11650672804762907,0.09648306247959865,A,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 semester。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。,能力,建议优先围绕学习维度开展干预，结合学习节奏支持、任务拆解与学习资源补足，提升学习执行与反馈闭环。,P1
pjxyqxbj955,0.967224201378712,,,0.967224201378712,高风险,life,club_active_flag,lib_visit_count,semester,year_start,semester,semester,bmi_count,run_punch_count,ws_mean,-0.38967255767124565,-0.5856006696138533,-0.02420003782866136,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqwbj485,0.9652882705315037,,,0.9652882705315037,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.21634132906484096,0.11682845038771612,-0.010888240901782998,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxuqwbj783,0.96,,,0.96,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.21634132906484269,0.1167951170543828,-0.02443236621360716,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqwbj646,0.9575,,,0.9575,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.0756554883563287,0.1182565056716401,-0.023411509243147294,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj895,0.9575,,,0.9575,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.075655488356327,0.11819295010318347,-0.010980006962687557,A,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxxxxbj955,0.9487797323540178,,,0.9487797323540178,高风险,life,club_active_flag,lib_visit_count,semester,term_order,year_start,year_start,fhl_mean,run_punch_count,bmi_count,0.20718442266355694,0.48639556168423326,-0.022755799526511952,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：term_order、club_active_flag、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxrqxbj955,0.9470890485005725,,,0.9470890485005725,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07179449959037369,-0.7588315432763407,-0.02457719638375717,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxuqwbj778,0.9470890485005725,,,0.9470890485005725,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.20595921897329558,0.11698133909702287,-0.022730053742316143,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbk980,0.9455851735015773,,,0.9455851735015773,高风险,life,club_active_flag,lib_visit_count,semester,semester,semester,semester,pe_unique_course,daily_daka_sum,pe_unique_course,-0.07583798849644927,0.12365289446363832,0.07382100263479857,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxuqwbj770,0.9443695303776772,,,0.9443695303776772,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07178222180965381,-0.7634727681818729,-0.03781283741422569,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbl737,0.9443695303776772,,,0.9443695303776772,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.20084794778687254,-0.7527469342436021,-0.0111733729442176,P,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqwbk893,0.9442809190967643,,,0.9442809190967643,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.21010883088844687,0.11691156130035703,-0.023425686840476884,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbl808,0.9411257048517012,,,0.9411257048517012,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,daily_daka_sum,-0.19756032908645935,0.10631500621313837,-0.024252598192720794,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbk101,0.94,,,0.94,高风险,life,door_unique_ctrl,door_event_count,lib_unique_gate,year_start,year_start,year_start,bmi_count,run_punch_count,ywqz_mean,-0.3862545127328485,-1.2462851788182432,-0.0117068517794612,P,生活失衡型,生活维度风险最高，且 SHAP 特征表现出作息、上网或消费等生活失衡迹象。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
pjxyqxbk630,0.94,,,0.94,高风险,life,club_active_flag,club_active_flag,lib_visit_count,year_start,year_start,year_start,pe_unique_course,daily_daka_sum,pe_unique_course,-0.15202272609807885,0.11730928324460971,-0.03781197441224569,A,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。,能力,建议先修正生活维度的作息与环境行为，采用学习节奏支持、任务拆解与学习资源补足建立稳定习惯。,P1
pjxyqxbj151,0.9388772486857659,,,0.9388772486857659,高风险,life,club_active_flag,lib_visit_count,semester,year_start,year_start,year_start,ywqz_mean,ywqz_mean,ywqz_mean,-0.07178222180965212,-0.7635061015152064,-0.02323255247930116,P,生活失衡型,生活维度风险最高，生活行为特征集中在 club_active_flag。,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。,提示,建议先修正生活维度的作息与环境行为，采用行为提醒、外部约束与环境触发优化建立稳定习惯。,P1
