student_id,risk_level,dominant_dimension,pattern_label,profile_text
pjxuqwbj714,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbj086,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：term_order、door_unique_ctrl、fhl_mean。从机制上看，问题主要集中在动机。在群体中，该学生属于生活失衡型。建议优先从动机干预入手。
pjxqqxbj985,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbj054,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、run_punch_count。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl673,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj658,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk501,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbj955,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbj485,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj783,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj646,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj895,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxxxxbj955,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：term_order、club_active_flag、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxrqxbj955,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj778,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk980,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj770,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbl737,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbk893,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl808,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk101,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk630,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj151,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxpqxbj915,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxsqxbj916,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk350,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj732,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxpqxbj937,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbl839,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj818,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk798,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj591,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj666,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、daily_daka_sum。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj837,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj762,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、door_unique_ctrl、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxrqxbj990,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk458,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxsqxbj971,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk065,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、club_active_flag、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbj219,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbk723,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbl929,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxqqxbj957,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxqqxbj964,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbj261,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl817,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj237,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbk756,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj500,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxqqxbj982,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：avg_score、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk070,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxuqwbj528,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbk544,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj166,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxrqxbj943,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqwbk686,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于多维叠加高风险型。建议优先从动机干预入手。
pjxyqxbj198,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl688,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于多维叠加高风险型。建议优先从能力干预入手。
pjxyqxbj718,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于多维叠加高风险型。建议优先从能力干预入手。
pjxsqxbj864,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于多维叠加高风险型。建议优先从动机干预入手。
pjxyqxbl712,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxuqwbj861,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxrqxbj905,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、bmi_count。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。
pjxuqwbj847,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbj709,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbj566,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxuqwbj497,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_count、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqwbk622,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbj169,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxsqxbj921,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqwbj913,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：year_start、bmi_count。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqwbj397,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、door_unique_ctrl、fhl_mean。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxyqwbj632,高风险,运动,运动薄弱型,该学生综合风险为高风险，主要由运动维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于运动薄弱型。建议优先从动机干预入手。
pjxrqxbj957,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbj399,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbl830,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqxbl723,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。
pjxuqwbj606,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk631,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbk839,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、fhl_mean。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxuqwbj631,高风险,运动,多维叠加高风险型,该学生综合风险为高风险，主要由运动维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于多维叠加高风险型。建议优先从动机干预入手。
pjxyqwbk777,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxyqwbj288,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbk079,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxuqwbj831,高风险,学习,多维叠加高风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于多维叠加高风险型。建议优先从能力干预入手。
pjxpqxbj920,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。
pjxyqwbj888,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：year_start、door_unique_ctrl、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbl716,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：term_order、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxyqxbl763,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxqqxbj961,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、ywqz_mean。从机制上看，问题主要集中在提示。在群体中，该学生属于生活失衡型。建议优先从提示干预入手。
pjxyqxbk644,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：year_start、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
pjxyqwbj380,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、club_active_flag、pe_unique_course。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxyqxbl678,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：semester、club_active_flag、daily_daka_sum。从机制上看，问题主要集中在动机。在群体中，该学生属于学习主导风险型。建议优先从动机干预入手。
pjxyqxbk080,高风险,学习,学习主导风险型,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：absent_rate、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于学习主导风险型。建议优先从能力干预入手。
pjxyqxbl796,高风险,生活,生活失衡型,该学生综合风险为高风险，主要由生活维度驱动。行为上表现为：semester、club_active_flag、pe_unique_course。从机制上看，问题主要集中在能力。在群体中，该学生属于生活失衡型。建议优先从能力干预入手。
