student_id,life_risk,study_risk,sport_risk,total_risk,risk_level,dominant_dimension,study_best_cls_model,life_shap_top1,life_shap_top2,life_shap_top3,study_shap_top1,study_shap_top2,study_shap_top3,sport_shap_top1,sport_shap_top2,sport_shap_top3,M_score,A_score,P_score,dominant_MAP,pattern_label,pattern_reason,profile_text,intervention_type,intervention_text,priority
pjxyqxbj448,0.5014789590651059,0.9580528470659978,0.516624928186894,0.6587189114393325,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuzvbj991,0.5014789590651059,0.9188786960125276,0.5400095486089402,0.6534557345621912,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj825,0.5014789590651059,0.9368499614039948,0.49764981416552767,0.6453262448782094,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbj718,0.5014789590651059,0.9341201490727152,0.5002527081542478,0.645283938764023,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxqzxbj967,0.5014789590651059,0.9378175158873708,0.4963861994475151,0.6452275581333305,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbk686,0.5014789590651059,0.9517152017470416,0.4818501244326637,0.6450147617482703,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbk685,,0.8325219658235778,0.4468617406537707,0.6396918532386743,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。,提示,建议优先围绕学习维度开展干预，结合行为提醒、外部约束与环境触发优化，提升学习执行与反馈闭环。,P1
pjxyqwbj288,,0.7913038098203384,0.4823777235643747,0.6368407666923566,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbl755,,0.7523688473601003,0.5204464914501137,0.6364076694051071,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj397,0.5014789590651059,0.8597867738512593,0.5381616883784153,0.6331424737649268,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxwxxbj963,0.5014789590651059,0.934411221430296,0.45930030751032225,0.6317301626685747,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbj048,0.5014789590651059,0.9491450073410928,0.43913137733045404,0.6299184479122175,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj861,0.5014789590651059,0.9674396019903156,0.41857711942778786,0.6291652268277365,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj542,0.5014789590651059,0.9769781582107926,0.40847996671771314,0.6289790279978705,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbk257,0.5014789590651059,0.8716477246528875,0.5132054630072898,0.628777382241761,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj659,0.5014789590651059,0.9768546233591522,0.40587258246013863,0.6280687216281322,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj974,0.5014789590651059,0.919772943023079,0.45577314911118116,0.6256750170664553,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj497,0.5014789590651059,0.8223904561446818,0.5512075481628337,0.6250256544575404,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj149,0.5014789590651059,0.8208353778787968,0.544286373057385,0.6222002366670959,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj955,0.5014789590651059,0.873077777298095,0.487474142556104,0.6206769596397682,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbj347,0.5014789590651059,0.8311239046406473,0.5239332374295493,0.6188453670451008,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxrqxbj905,0.5014789590651059,0.7987146790907803,0.5559037219525307,0.618699120036139,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbk723,,0.7497209722885899,0.4841338960580106,0.6169274341733002,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbk799,0.5014789590651059,0.9219156668712172,0.4034324868236744,0.6089423709199991,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbk746,,0.873077777298095,0.3421196408119139,0.6075987090550045,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。,提示,建议优先围绕学习维度开展干预，结合行为提醒、外部约束与环境触发优化，提升学习执行与反馈闭环。,P1
pjxyqxbj710,0.5014789590651059,0.7636619373444566,0.5470823486069369,0.6040744150054999,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbk511,,0.7128574150108525,0.49145324314367905,0.6021553290772658,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbl713,,0.7098084009843116,0.4890190997240726,0.5994137503541921,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj799,0.5014789590651059,0.8623918844771092,0.43121430236259384,0.598361715301603,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj913,,0.6776708403537445,0.5179243178759503,0.5977975791148473,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj701,0.5014789590651059,0.8966398599669058,0.39310100473421017,0.5970732745887406,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxrqxbj916,0.5014789590651059,0.8872447905213905,0.39955446090459157,0.5960927368303627,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj876,0.5014789590651059,0.8615886717996063,0.42083019014513695,0.594632607003283,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbl746,,0.656064387533282,0.5313697492049124,0.5937170683690972,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxrqxbj914,,0.8093716442383342,0.3755510499710599,0.5924613471046971,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,学习主导风险型,学习风险高于生活与运动，关键行为特征集中在 学习行为。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于学习主导风险型。建议优先从提示干预入手。,提示,建议优先围绕学习维度开展干预，结合行为提醒、外部约束与环境触发优化，提升学习执行与反馈闭环。,P1
pjxyqxbk468,0.5014789590651059,0.8059556391125229,0.46520960575022025,0.590881401309283,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqxbl723,0.5014789590651059,0.6762394640791769,0.5947041560257773,0.59080752639002,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxsqxbj823,0.5014789590651059,0.841153205533303,0.4284264719519061,0.590352878850105,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxuqwbj695,0.5014789590651059,0.8574484096716019,0.41170105586062034,0.590209474865776,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbj986,0.5014789590651059,0.8330810246797534,0.4268193734007376,0.5871264523818657,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxsqxbj751,0.5014789590651059,0.88789754181204,0.35380791507001685,0.5810614719823876,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
pjxyqwbk724,0.5014789590651059,0.846461570301572,0.39091184202942575,0.5796174571320346,高风险,study,study_v1,,,,,,,,,,0.0,0.0,0.0,P,多维叠加高风险型,至少两个维度风险同时偏高，且综合风险进入高位区间。,该学生综合风险为高风险，主要由学习维度驱动。行为上表现为：暂无显著行为特征。从机制上看，问题主要集中在提示。在群体中，该学生属于多维叠加高风险型。建议优先从提示干预入手。,提示,建议采用分阶段干预方案，先解决学习主导问题，再以行为提醒、外部约束与环境触发优化联动其他维度。,P1
